"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2018",1090.57,1088.35,1094.17,1087.37,"742.58M","0.37%"
"Nov 27, 2018",1086.51,1083.63,1088.92,1081.36,"681.67M","0.17%"
"Nov 26, 2018",1084.72,1077.64,1086.33,1073.48,"694.91M","0.63%"
"Nov 23, 2018",1077.93,1067.38,1079.60,1061.59,"766.39M","1.17%"
"Nov 22, 2018",1065.48,1073.45,1077.65,1064.38,"867.67M","-0.83%"
"Nov 21, 2018",1074.39,1065.46,1079.50,1062.21,"959.73M","0.24%"
"Nov 20, 2018",1071.83,1083.81,1084.09,1069.75,"780.92M","-1.41%"
"Nov 19, 2018",1087.15,1084.17,1089.91,1081.45,"550.04M","0.24%"
"Nov 16, 2018",1084.54,1087.21,1092.80,1082.60,"750.40M","-0.16%"
"Nov 15, 2018",1086.32,1097.56,1098.60,1085.00,"792.69M","-0.71%"
"Nov 14, 2018",1094.08,1094.56,1099.70,1088.56,"807.17M","-0.50%"
"Nov 13, 2018",1099.57,1088.27,1104.03,1086.66,"936.11M","0.44%"
"Nov 12, 2018",1094.78,1106.38,1106.97,1094.46,"545.14M","-0.72%"
"Nov 09, 2018",1102.77,1107.29,1108.91,1099.34,"572.01M","-0.88%"
"Nov 08, 2018",1112.57,1115.88,1118.18,1111.69,"961.50M","0.40%"
"Nov 07, 2018",1108.12,1105.46,1108.12,1091.91,"983.29M","0.57%"
"Nov 06, 2018",1101.89,1107.50,1113.19,1101.79,"859.27M","-0.02%"
"Nov 05, 2018",1102.09,1099.96,1103.50,1097.92,"785.46M","-0.69%"
"Nov 02, 2018",1109.70,1104.61,1114.36,1101.74,"1.22B","0.92%"
"Nov 01, 2018",1099.63,1104.04,1105.41,1093.79,"1.18B","-0.26%"
"Oct 31, 2018",1102.49,1087.42,1102.65,1085.63,"994.00M","2.26%"
"Oct 30, 2018",1078.15,1078.67,1084.03,1074.89,"626.01M","0.07%"
"Oct 29, 2018",1077.41,1073.71,1084.31,1072.17,"724.38M","0.67%"
"Oct 26, 2018",1070.25,1078.00,1079.59,1067.50,"778.50M","-1.22%"
"Oct 25, 2018",1083.50,1055.03,1085.99,1048.41,"1.63B","1.53%"
"Oct 24, 2018",1067.15,1079.90,1085.50,1064.51,"1.31B","-2.38%"
"Oct 22, 2018",1093.15,1098.45,1102.09,1088.66,"768.60M","-0.28%"
"Oct 19, 2018",1096.19,1104.06,1105.52,1094.13,"1.11B","-0.88%"
"Oct 18, 2018",1105.93,1111.43,1113.87,1104.14,"945.69M","-0.72%"
"Oct 17, 2018",1113.98,1123.35,1125.15,1113.98,"1.41B","-0.11%"
"Oct 16, 2018",1115.21,1114.96,1118.47,1108.29,"723.83M","0.05%"
"Oct 12, 2018",1114.62,1111.56,1117.60,1109.04,"791.29M","0.81%"
"Oct 11, 2018",1105.61,1103.11,1110.43,1099.01,"1.72B","-2.57%"
"Oct 10, 2018",1134.73,1125.64,1134.73,1124.23,"920.43M","1.63%"
"Oct 09, 2018",1116.48,1117.32,1124.44,1110.95,"1.08B","0.13%"
"Oct 08, 2018",1115.02,1130.70,1137.01,1115.02,"1.41B","-1.42%"
"Oct 05, 2018",1131.13,1135.22,1140.11,1129.85,"885.42M","-0.61%"
"Oct 04, 2018",1138.05,1143.00,1146.75,1132.09,"1.55B","-0.85%"
"Oct 03, 2018",1147.75,1154.87,1157.21,1147.27,"1.34B","-0.28%"
"Oct 02, 2018",1150.93,1158.74,1162.26,1149.16,"1.20B","-0.89%"
